Objectid ,Straat ,Type_en_merk ,Aantal ,geo_shape,geo_point_2d,neighbourhood,avg_income
6930,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.472919471803207, 51.468688260909474], ""type"": ""Point""}","51.468688260909474, 5.472919471803207",Winkelcentrum,"38,7"
6931,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.472954530144338, 51.468688235094874], ""type"": ""Point""}","51.468688235094874, 5.472954530144338",Winkelcentrum,"38,7"
6941,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.473309511133323, 51.468677024937385], ""type"": ""Point""}","51.468677024937385, 5.473309511133323",Winkelcentrum,"38,7"
7144,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.47488074248266, 51.46849442542951], ""type"": ""Point""}","51.46849442542951, 5.47488074248266",Winkelcentrum,"38,7"
7147,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474261480708794, 51.468599805630646], ""type"": ""Point""}","51.468599805630646, 5.474261480708794",Winkelcentrum,"38,7"
7155,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474552835156902, 51.46859631555659], ""type"": ""Point""}","51.46859631555659, 5.474552835156902",Winkelcentrum,"38,7"
7156,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474581701836968, 51.46859464897578], ""type"": ""Point""}","51.46859464897578, 5.474581701836968",Winkelcentrum,"38,7"
7159,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474689320139685, 51.46859293223705], ""type"": ""Point""}","51.46859293223705, 5.474689320139685",Winkelcentrum,"38,7"
7163,Winkelcentrum Woensel,Parkeerplaats,1.0,"{""coordinates"": [5.474823188951709, 51.468591186661364], ""type"": ""Point""}","51.468591186661364, 5.474823188951709",Winkelcentrum,"38,7"
7372,Lodewijk Napoleonplein,Parkeerplaats,1.0,"{""coordinates"": [5.467332202590107, 51.43850836810114], ""type"": ""Point""}","51.43850836810114, 5.467332202590107","Eliasterrein, Vonderkwartier","47,9"
