,neighbourhood,Amount of parking places,amount of charging stations,Personenauto's overige brandstof|2013,Personenauto's overige brandstof|2014,Personenauto's overige brandstof|2015,Personenauto's overige brandstof|2016,Personenauto's overige brandstof|2017,Personenauto's overige brandstof|2018,Personenauto's overige brandstof|2019,Personenauto's overige brandstof|2020,Personenauto's overige brandstof|2021,Personenauto's overige brandstof|2022,avg_income,Amount of EV proximity parking places
93,Meerrijk,0.0,1.0,10,20,35,40,40,45,55,55,60,75,"47,4",0.0
94,Blixembosch-West,0.0,1.0,175,190,190,195,180,190,185,175,180,200,"68,2",0.0
95,Tongelresche Akkers,0.0,1.0,55,55,65,70,80,80,85,85,120,155,"57,7",0.0
96,Elzent-Zuid,0.0,1.0,20,25,25,30,35,50,50,60,55,55,"111,0",0.0
97,BeA2,0.0,0.0,5,5,5,5,10,5,5,5,5,5,0,0.0
98,Beemden,0.0,0.0,5,10,10,10,10,15,20,20,20,15,0,0.0
99,Eckartdal,0.0,0.0,0,0,0,0,5,5,5,0,5,5,0,0.0
100,Eindhoven Airport,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
101,Esp,0.0,0.0,50,50,60,70,90,95,85,85,65,60,0,0.0
102,Herdgang,0.0,0.0,0,0,0,0,0,5,5,5,5,5,0,0.0
103,Kapelbeemd,0.0,0.0,95,90,105,95,110,115,100,90,110,125,0,0.0
104,Koudenhoven,0.0,0.0,35,50,50,45,45,55,55,55,60,60,0,0.0
105,Leenderheide,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0
106,Meerbos,0.0,0.0,5,10,5,5,10,5,5,5,5,5,0,0.0
107,Mispelhoef,0.0,0.0,75,85,90,95,100,100,100,105,105,100,0,0.0
108,Park Forum,0.0,0.0,5,5,5,5,5,5,10,10,20,15,0,0.0
109,Poeijers,0.0,0.0,50,40,25,0,0,0,0,0,0,0,0,0.0
110,Riel,0.0,0.0,15,20,20,20,15,20,20,20,25,25,0,0.0
111,Roosten,0.0,0.0,80,85,80,80,80,90,85,85,80,90,0,0.0
112,Tivoli,0.0,0.0,90,75,55,55,55,55,55,60,55,55,0,0.0
113,Urkhoven,0.0,0.0,20,20,15,15,15,15,15,25,15,15,0,0.0
114,Vredeoord,0.0,0.0,0,5,5,5,10,15,10,10,10,15,0,0.0
115,Wielewaal,0.0,0.0,10,15,15,15,20,20,25,20,25,25,0,0.0
